file,npaths,nss,time_s,nodes,edges,k_max
randomBN_40N92E4KMAX_12.bnet,13108,11,0.3304629325866699,40,92,4
randomBN_40N110E5KMAX_2.bnet,31498,8,0.3343133926391601,40,110,5
randomBN_40N97E4KMAX_14.bnet,8678,12,0.3425371646881103,40,97,4
randomBN_60N154E5KMAX_9.bnet,15351,2,0.1976573467254638,60,154,5
randomBN_60N138E4KMAX_16.bnet,2338,4,0.2132430076599121,60,138,4
randomBN_60N125E3KMAX_9.bnet,3355,4,0.225853681564331,60,125,3
randomBN_60N153E4KMAX_7.bnet,32495,2,0.2024509906768798,60,153,4
randomBN_40N101E4KMAX_3.bnet,32473,10,0.3647713661193847,40,101,4
randomBN_40N117E5KMAX_15.bnet,45707,6,0.3698499202728271,40,117,5
randomBN_40N80E3KMAX_9.bnet,12624,13,0.3704988956451416,40,80,3
randomBN_60N111E3KMAX_6.bnet,5444,4,0.2648177146911621,60,111,3
randomBN_40N92E4KMAX_11.bnet,7248,16,0.4033570289611816,40,92,4
randomBN_40N104E4KMAX_16.bnet,83052,4,0.4100325107574463,40,104,4
randomBN_40N52E2KMAX_17.bnet,32,16,0.4273111820220947,40,52,2
randomBN_60N118E3KMAX_13.bnet,13716,5,0.2990045547485351,60,118,3
randomBN_40N55E2KMAX_3.bnet,964,16,0.4313631057739258,40,55,2
randomBN_40N116E4KMAX_2.bnet,22712,12,0.4309186935424804,40,116,4
randomBN_40N53E2KMAX_9.bnet,722,16,0.4452707767486572,40,53,2
randomBN_60N183E5KMAX_16.bnet,42368,4,0.2816929817199707,60,183,5
randomBN_80N121E2KMAX_11.bnet,280,2,0.1766369342803955,80,121,2
randomBN_80N147E3KMAX_10.bnet,2232,2,0.1789319515228271,80,147,3
randomBN_40N91E5KMAX_4.bnet,4648,16,0.4599666595458984,40,91,5
randomBN_80N153E3KMAX_12.bnet,52,2,0.1868822574615478,80,153,3
randomBN_40N75E3KMAX_18.bnet,13358,18,0.4984326362609863,40,75,3
randomBN_60N85E2KMAX_9.bnet,1152,8,0.3997721672058105,60,85,2
randomBN_60N86E2KMAX_3.bnet,36,8,0.4339728355407715,60,86,2
randomBN_60N88E2KMAX_20.bnet,1156,8,0.4316544532775879,60,88,2
randomBN_60N90E2KMAX_15.bnet,328,8,0.4279909133911133,60,90,2
randomBN_40N120E5KMAX_3.bnet,127514,6,0.5507361888885498,40,120,5
randomBN_60N90E2KMAX_2.bnet,734,8,0.4463326930999756,60,90,2
randomBN_60N131E4KMAX_15.bnet,10354,8,0.4357168674468994,60,131,4
randomBN_60N79E2KMAX_5.bnet,474,8,0.4712259769439697,60,79,2
randomBN_60N145E4KMAX_2.bnet,252,8,0.4474103450775146,60,145,4
randomBN_60N111E3KMAX_4.bnet,1616,8,0.4766116142272949,60,111,3
randomBN_60N158E5KMAX_7.bnet,2521,8,0.4480059146881103,60,158,5
randomBN_60N148E4KMAX_3.bnet,4542,8,0.4542014598846435,60,148,4
randomBN_40N102E5KMAX_5.bnet,52018,16,0.6257197856903076,40,102,5
randomBN_40N115E5KMAX_6.bnet,53407,18,0.6224431991577148,40,115,5
randomBN_60N125E3KMAX_20.bnet,2044,8,0.4983563423156738,60,125,3
randomBN_80N116E2KMAX_3.bnet,602,4,0.3720014095306396,80,116,2
randomBN_40N100E4KMAX_15.bnet,88444,16,0.6369984149932861,40,100,4
randomBN_80N114E2KMAX_15.bnet,862,4,0.384333848953247,80,114,2
randomBN_60N182E5KMAX_1.bnet,34696,8,0.4821507930755615,60,182,5
randomBN_40N54E2KMAX_15.bnet,448,24,0.6455521583557129,40,54,2
randomBN_40N55E2KMAX_1.bnet,1329,24,0.6556050777435303,40,55,2
randomBN_80N169E4KMAX_1.bnet,33630,2,0.352407693862915,80,169,4
randomBN_40N122E5KMAX_1.bnet,37383,12,0.6744449138641357,40,122,5
randomBN_80N115E2KMAX_17.bnet,2424,4,0.4266808032989502,80,115,2
randomBN_60N118E3KMAX_17.bnet,24165,10,0.5820906162261963,60,118,3
randomBN_60N115E3KMAX_3.bnet,1656,8,0.5865886211395264,60,115,3
randomBN_80N156E3KMAX_3.bnet,18312,4,0.4283680915832519,80,156,3
randomBN_60N113E3KMAX_2.bnet,25265,8,0.6107492446899414,60,113,3
randomBN_60N87E2KMAX_6.bnet,2944,12,0.6365494728088379,60,87,2
randomBN_60N105E3KMAX_11.bnet,3024,12,0.6352357864379883,60,105,3
randomBN_40N107E5KMAX_14.bnet,152229,8,0.7675931453704834,40,107,5
randomBN_60N139E4KMAX_10.bnet,38976,8,0.6526815891265869,60,139,4
randomBN_60N141E4KMAX_11.bnet,34510,8,0.6505615711212158,60,141,4
randomBN_80N198E4KMAX_3.bnet,27561,4,0.4649665355682373,80,198,4
randomBN_80N111E2KMAX_2.bnet,854,6,0.5833451747894287,80,111,2
